cluster_key,ra_deg,dec_deg,distance_kpc,distance_sigma_kpc,pmra_masyr,pmdec_masyr,pmra_sigma_masyr,pmdec_sigma_masyr,pmra_pmdec_corr,vlos_kms,vlos_sigma_kms,pm_cov_ra_ra_mas2yr2,pm_cov_ra_dec_mas2yr2,pm_cov_dec_dec_mas2yr2,pm_cov_det,pm_cov_min_eig,pm_cov_max_eig,position_sampling,pm_sampling,distance_sampling,vlos_sampling,pm_distance_cross_covariance,rv_astrometry_cross_covariance,additional_pm_systematic_floor,distance_frac_sigma,pm_corr_abs,X_kpc,Y_kpc,Z_kpc,U_kms,V_kms,W_kms,R_GC_kpc
ERIDANUS,66.185608,-21.186781,84.68,2.89,0.4769999999999999,-0.2949999999999999,0.029,0.035,-0.23,-22.91,0.7199999999999999,0.000841,-0.00023345,0.001225,9.757260975e-07,0.000730737030882,0.0013352629691179,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0341284837033538,0.23,58.21,-39.24,-55.93,-55.48,68.3,131.3,70.20100925200435
ESO 280-SC06,272.275,-46.423333,20.95,0.65,-0.695,-2.776,0.02,0.016,0.23,93.2,0.34,0.0004,7.36e-05,0.0002559999999999,9.698304e-08,0.0002250390365235,0.0004309609634764,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0310262529832935,0.23,-11.73,-4.63,-4.56,-23.96,-35.85,-71.97,12.610701804419929
ESO 452-SC11,249.854167,-28.399167,7.389999999999999,0.2,-1.437,-6.471,0.024,0.0219999999999999,-0.25,16.75,0.44,0.000576,-0.0001319999999999,0.0004839999999999,2.6136e-07,0.0003902144499599,0.00066978555004,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.027063599458728,0.25,1.03,-1.02,1.55,-20.8,43.24,-94.85,1.4495861478366852
ESO 456-SC29,269.651,-32.02,8.269999999999998,0.67,-8.044,-8.048999999999998,0.0379999999999999,0.031,0.4199999999999999,78.94,1.44,0.001444,0.0004947599999999,0.0009609999999999,1.1428965424e-06,0.0006519459993788,0.0017530540006211,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0810157194679564,0.4199999999999999,-0.07,-0.18,-0.57,-88.72,-179.91,119.01,0.19313207915827965
ESO 456-SC38,270.454378,-27.825819,8.76,0.1799999999999999,0.7199999999999999,-3.003,0.021,0.0179999999999999,0.01,-149.75,1.1,0.000441,3.78e-06,0.0003239999999999,1.4286971160000002e-07,0.0003238780041281,0.0004411219958718,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0205479452054794,0.01,-0.57,0.42,-0.38,137.64,151.13,-73.65,0.7080254232723567
FSR 1716,242.625,-53.748889,7.429999999999999,0.27,-4.407,-8.862,0.029,0.0259999999999999,-0.11,-30.7,0.98,0.000841,-8.294e-05,0.0006759999999999,5.616369564e-07,0.0006415158403885,0.0008754841596114,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0363391655450874,0.11,1.76,-3.74,-0.21,182.51,-12.33,-115.33,4.133424730172306
FSR 1735,253.044174,-47.058056,9.08,0.53,-4.57,-1.515,0.0539999999999999,0.0459999999999999,-0.11,-69.85,4.88,0.0029159999999999,-0.00027324,0.0021159999999999,6.095595902399999e-06,0.0020315827236771,0.0030004172763228,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0583700440528634,0.11,-0.31,-3.23,-0.29,113.12,111.87,120.05,3.244842060871376
FSR 1758,262.8,-39.808,11.09,0.7399999999999999,-2.875,2.509,0.008,0.007,0.08,227.31,0.5899999999999999,6.4e-05,4.48e-06,4.9000000000000005e-05,3.1159296000000003e-09,4.776384523946606e-05,6.523615476053395e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0667267808836789,0.08,-2.69,-2.07,-0.64,-250.44,235.01,192.45,3.3942598604113976
GRAN 2,257.89,-24.849,15.84,1.55,0.227,-2.568,0.027,0.0219999999999999,-0.02,53.22,1.67,0.0007289999999999,-1.188e-05,0.0004839999999999,3.526948655999999e-07,0.0004834252893564,0.0007295747106435,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0978535353535353,0.02,-7.48,-0.21,2.36,-80.46,103.84,-108.8,7.482947280316761
GRAN 3,256.256,-35.496,11.47,0.75,-3.851,0.498,0.065,0.049,-0.1799999999999999,94.87,1.58,0.004225,-0.0005733,0.002401,9.81555211e-06,0.0022357735196347,0.0043902264803652,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.065387968613775,0.1799999999999999,-3.09,-2.04,0.68,-74.88,134.19,195.87,3.7026612051334107
