cluster_key,X_kpc,Y_kpc,Z_kpc,U_kms,V_kms,W_kms
NGC 6496,-1.11,-1.97,-1.68,222.91,-146.82,-45.56
NGC 6517,-0.47,3.02,1.09,-49.03,50.13,-31.3
NGC 6522,0.9,0.13,-0.5,14.18,101.3,-177.94
NGC 6528,0.37,0.16,-0.57,-224.49,34.2,-39.4
NGC 6535,2.61,2.86,1.15,125.6,27.55,38.55
NGC 6539,0.6,2.88,0.96,-113.35,25.57,178.27
NGC 6540,2.29,0.34,-0.34,-4.5,132.39,60.24
NGC 6541,0.84,-1.39,-1.48,228.17,13.34,-111.74
NGC 6544,5.61,0.26,-0.1,8.81,36.42,-77.57
NGC 6553,2.88,0.49,-0.28,-10.62,247.02,-5.76
NGC 6558,0.44,0.03,-0.82,184.04,85.48,11.86
NGC 6569,-2.28,0.09,-1.23,33.52,-168.57,24.53
NGC 6584,-4.25,-4.0,-3.85,-69.58,-216.63,-238.12
NGC 6624,0.24,0.39,-1.1,-59.64,20.64,-122.99
NGC 6626,2.88,0.72,-0.52,-40.52,48.96,-90.99
NGC 6637,-0.58,0.26,-1.59,-82.47,-59.69,82.89
NGC 6638,-1.43,1.33,-1.22,-52.31,35.04,25.45
NGC 6642,0.3,1.36,-0.9,31.86,106.97,-46.79
NGC 6652,-1.1,0.25,-1.87,46.85,-26.61,165.75
NGC 6656,4.95,0.56,-0.43,155.31,212.88,-148.73
NGC 6681,-0.95,0.45,-2.03,-199.39,96.15,-180.24
NGC 6712,1.53,3.15,-0.56,60.92,123.26,-159.05
NGC 6715,-17.19,2.49,-6.4,-235.36,-17.11,203.74
NGC 6717,0.98,1.65,-1.42,-91.59,55.81,27.44
NGC 6723,0.28,0.01,-2.46,100.19,178.63,-32.93
NGC 6749,2.06,4.48,-0.29,-104.73,25.0,2.83
NGC 6752,4.77,-1.48,-1.78,27.25,172.35,60.49
NGC 6760,1.4,4.95,-0.58,-95.28,129.61,-20.16
NGC 6779,3.44,9.17,1.51,83.5,128.29,110.44
NGC 6809,3.32,0.75,-2.11,-210.78,28.97,-55.46
NGC 6838,5.99,3.34,-0.32,-63.91,193.37,38.86
NGC 6864,-9.15,6.41,-8.91,69.15,-71.35,53.63
NGC 6934,-0.96,11.73,-5.09,-88.22,-302.01,122.23
